Invoice_number,Customer_id,Service_id,Agent_id,Billing_date,Payment_status,Transaction_type,Mode_of_payment,Plan_name,Plan_category,Plan_charge,Tax_amount,Actual_amount,Billed_amount,Paid_amount,Balance_amount,Plan_start_date,Plan_end_date,Zone_area,Data_bought,Data_used,Billing_cycle
INV104474,CUST006835,SVC7087,AGT107,08-05-2024,Paid,New Connection,Auto Debit,Youth Special,Prepaid,599,107.82,706.82,706.82,706.82,0.0,06-05-2024,06-06-2024,Circle-East,10,4.52,31
INV105891,CUST001609,SVC7741,AGT149,04-07-2025,Paid,Recharge,Cash,Business Basic,Enterprise,4999,899.82,5898.82,5898.82,5898.82,0.0,02-07-2025,01-08-2025,Circle-North,200,102.33,30
INV104744,CUST004433,SVC5817,AGT143,14-01-2024,Paid,Recharge,Net Banking,Smart Connect,Prepaid,699,125.82,824.82,824.82,824.82,0.0,13-01-2024,13-02-2024,Metro-A,15,2.51,31
INV108656,CUST005198,SVC5202,AGT008,26-03-2024,Paid,New Connection,Wallet,Industry Solution,Enterprise,9999,1799.82,11798.82,11798.82,11798.82,0.0,21-03-2024,21-04-2024,Metro-A,750,462.18,31
INV108099,CUST003653,SVC2765,AGT138,06-02-2024,Partial,Bill Payment,Auto Debit,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,7670.37,7668.45,01-02-2024,02-03-2024,Metro-B,1000,441.01,30
INV104090,CUST000951,SVC3575,AGT075,10-11-2023,Paid,Bill Payment,UPI,Premium Plus,Postpaid,1999,359.82,2358.82,2358.82,2358.82,0.0,07-11-2023,07-12-2023,Circle-North,50,34.36,30
INV104424,CUST003428,SVC1098,AGT113,02-11-2023,Paid,Renewal,Credit Card,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,15338.82,0.0,01-11-2023,29-11-2023,Circle-South,1000,794.24,28
INV109371,CUST000178,SVC7120,AGT005,05-10-2024,Paid,Bill Payment,Credit Card,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,15338.82,0.0,01-10-2024,29-10-2024,Circle-North,1000,1104.91,28
INV108898,CUST000293,SVC8514,AGT035,14-08-2024,Paid,Bill Payment,UPI,Business Basic,Enterprise,4999,899.82,5898.82,5898.82,5898.82,0.0,13-08-2024,13-09-2024,Circle-East,200,495.21,31
INV101289,CUST003362,SVC3298,AGT037,19-10-2024,Paid,Recharge,Auto Debit,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,15338.82,0.0,14-10-2024,13-11-2024,Metro-B,1000,56.26,30
INV103639,CUST007355,SVC3180,AGT143,28-07-2025,Pending,Renewal,Credit Card,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,0.0,15338.82,27-07-2025,26-08-2025,Circle-South,1000,539.38,30
