Invoice_Number,Customer_ID,Service_ID,Billing_Date,Payment_Status,Mode_of_Payment,Product_Name,Service,Product_Category,Product_Quantity,Tax_Amount,Actual_Amount,Billed_Amount,Paid_Amount,Balance_Amount,Unit_Price,Tax_Rate,Service_Charge,Discount_Amount,Customer_Type,Order_Channel,Invoice_Num_Int,actual_billing_amnt
INV-10000,CUST-2824,SRV-125,2024-06-11,Paid,Cash,Textbook,Express Delivery,Books,2,15.95,114.74,133.58,133.58,0.0,57.37,0.139,2.89,0.0,Regular,In-Store,10000,133.58
INV-10001,CUST-4257,SRV-833,2025-06-30,Paid,Digital Wallet,Motor Oil,Warranty,Automotive,10,182.11,1329.3,1391.61,1391.61,0.0,132.93,0.137,87.11,206.91,Regular,Online,10001,1391.61
INV-10002,CUST-2519,SRV-489,2023-12-12,Paid,Digital Wallet,Shampoo,Support,Beauty,5,75.41,613.05,720.45,720.45,0.0,122.61,0.123,31.99,0.0,Premium,In-Store,10002,720.45
INV-10003,CUST-6925,SRV-691,2024-03-18,Paid,Digital Wallet,T-Shirt,Consultation,Clothing,4,94.18,632.08,771.34,771.34,0.0,158.02,0.149,45.08,0.0,Premium,Online,10003,771.34
INV-10004,CUST-7065,SRV-463,2024-04-05,Cancelled,Cash,Sports Jersey,Consultation,Sports,2,25.54,381.12,375.75,0.0,375.75,190.56,0.067,24.3,55.21,Premium,Online,10004,375.75
INV-10005,CUST-6313,SRV-963,2023-10-31,Pending,Bank Transfer,Fiction Novel,Maintenance,Books,6,13.02,228.48,258.59,0.0,258.59,38.08,0.057,17.09,0.0,Regular,Online,10005,258.59
INV-10006,CUST-8517,SRV-246,2024-06-01,Paid,Debit Card,Dining Table,Consultation,Home & Garden,9,316.14,2529.09,2960.82,2960.82,0.0,281.01,0.125,115.59,0.0,New,In-Store,10006,2960.82
INV-10007,CUST-2489,SRV-873,2023-10-22,Cancelled,Cash,Jeans,Consultation,Clothing,3,44.58,484.59,540.71,0.0,540.71,161.53,0.092,11.54,0.0,Premium,Mobile App,10007,540.71
INV-10008,CUST-1188,SRV-796,2023-12-30,Pending,Digital Wallet,Sports Jersey,Installation,Sports,2,13.49,204.36,221.98,0.0,221.98,102.18,0.066,4.13,0.0,New,Online,10008,221.98
INV-10009,CUST-2743,SRV-991,2025-06-05,Partially Paid,Bank Transfer,Sports Jersey,Support,Sports,10,65.86,757.0,845.34,705.69,139.65,75.7,0.087,22.48,0.0,Premium,Online,10009,845.34
INV-10010,CUST-6947,SRV-999,2024-07-14,Pending,Bank Transfer,Fiction Novel,Express Delivery,Books,10,45.01,762.9,662.2,0.0,662.2,76.29,0.059,37.5,183.21,Regular,Mobile App,10010,662.2
INV-10011,CUST-3705,SRV-371,2025-02-25,Overdue,Credit Card,Motor Oil,Support,Automotive,4,105.76,1175.16,1351.78,0.0,1351.78,293.79,0.09,70.86,0.0,Regular,Online,10011,1351.78
INV-10012,CUST-4770,SRV-702,2024-04-16,Pending,Debit Card,Laptop,Consultation,Electronics,1,70.0,496.44,547.61,0.0,547.61,496.44,0.141,35.53,54.36,Regular,Phone,10012,547.61
INV-10013,CUST-8744,SRV-348,2024-12-31,Paid,Check,Motor Oil,Standard Shipping,Automotive,2,46.55,547.64,618.65,618.65,0.0,273.82,0.085,24.46,0.0,VIP,Online,10013,618.65
INV-10014,CUST-7596,SRV-845,2024-08-16,Overdue,Credit Card,Jeans,Express Delivery,Clothing,4,29.24,456.84,500.25,202.11,298.14,114.21,0.064,14.17,0.0,Corporate,Online,10014,500.25
INV-10015,CUST-9856,SRV-956,2023-09-19,Paid,Bank Transfer,Sweater,Maintenance,Clothing,4,18.12,183.08,207.21,207.21,0.0,45.77,0.099,6.01,0.0,Regular,Online,10015,207.21
INV-10016,CUST-8454,SRV-392,2024-11-10,Paid,Digital Wallet,Snack Pack,Express Delivery,Food & Beverage,5,4.14,74.0,73.39,73.39,0.0,14.8,0.056,4.75,9.5,Premium,In-Store,10016,73.39
INV-10017,CUST-1931,SRV-620,2023-11-25,Paid,Cash,Sofa,Support,Home & Garden,2,51.17,691.46,761.43,761.43,0.0,345.73,0.074,18.8,0.0,Premium,Online,10017,761.43
INV-10018,CUST-9565,SRV-423,2024-05-28,Paid,Credit Card,Technical Manual,Consultation,Books,6,14.42,160.26,184.34,184.34,0.0,26.71,0.09,9.66,0.0,Corporate,Online,10018,184.34
INV-10019,CUST-2638,SRV-175,2025-03-07,Paid,Check,Self-Help Book,Installation,Books,3,31.19,225.99,273.62,273.62,0.0,75.33,0.138,16.44,0.0,Corporate,Online,10019,273.62
INV-10020,CUST-9666,SRV-108,2025-07-18,Paid,Check,Sports Jersey,Standard Shipping,Sports,3,39.22,282.15,305.6,305.6,0.0,94.05,0.139,18.21,33.98,Regular,In-Store,10020,305.6
INV-10021,CUST-5325,SRV-617,2025-01-16,Paid,Check,Running Shoes,Standard Shipping,Sports,7,95.34,1765.54,1410.78,1410.78,0.0,252.22,0.054,70.65,520.75,Premium,In-Store,10021,1410.78
INV-10022,CUST-1158,SRV-214,2023-11-20,Overdue,PayPal,Garden Tool,Standard Shipping,Home & Garden,6,117.66,1810.14,1977.84,0.0,1977.84,301.69,0.065,50.04,0.0,Corporate,Online,10022,1977.84
INV-10023,CUST-5088,SRV-782,2023-12-18,Pending,Bank Transfer,Skincare Set,Maintenance,Beauty,7,128.0,1023.96,1136.52,0.0,1136.52,146.28,0.125,77.36,92.8,Regular,Online,10023,1136.52
INV-10024,CUST-6442,SRV-901,2024-10-29,Paid,Digital Wallet,Cookbook,Express Delivery,Books,2,3.97,73.56,60.51,60.51,0.0,36.78,0.054,3.55,20.57,Corporate,Online,10024,60.51
INV-10025,CUST-1387,SRV-775,2024-03-19,Cancelled,Credit Card,Tires,Installation,Automotive,2,60.49,775.5,881.35,0.0,881.35,387.75,0.078,45.36,0.0,Premium,Online,10025,881.35
INV-10026,CUST-5279,SRV-282,2025-04-20,Paid,Cash,Running Shoes,Standard Shipping,Sports,10,174.27,1416.8,1646.07,1646.07,0.0,141.68,0.123,55.0,0.0,Regular,Online,10026,1646.07
INV-10027,CUST-1727,SRV-825,2024-11-23,Partially Paid,Check,Smart TV,Maintenance,Electronics,9,1800.62,12504.33,13134.52,10988.56,2145.96,1389.37,0.144,803.06,1973.49,Premium,Mobile App,10027,13134.52
INV-10028,CUST-5920,SRV-619,2024-07-16,Pending,Cash,Tires,Warranty,Automotive,5,81.12,1175.65,1327.19,0.0,1327.19,235.13,0.069,70.42,0.0,Regular,Online,10028,1327.19
INV-10029,CUST-9977,SRV-953,2023-09-04,Pending,Digital Wallet,Tennis Racket,Express Delivery,Sports,7,186.49,1680.07,1932.65,0.0,1932.65,240.01,0.111,66.09,0.0,Premium,Mobile App,10029,1932.65
INV-10030,CUST-3780,SRV-774,2023-11-29,Paid,Credit Card,Gym Equipment,Consultation,Sports,10,150.28,1138.5,1362.86,1362.86,0.0,113.85,0.132,74.08,0.0,Regular,Online,10030,1362.86
INV-10031,CUST-8784,SRV-725,2023-11-17,Paid,Digital Wallet,Spice Set,Consultation,Food & Beverage,10,16.5,137.5,131.4,131.4,0.0,13.75,0.12,6.83,29.43,Corporate,Mobile App,10031,131.4
INV-10032,CUST-7965,SRV-324,2024-03-02,Paid,PayPal,Organic Coffee,Support,Food & Beverage,4,11.48,185.16,201.82,201.82,0.0,46.29,0.062,5.18,0.0,Premium,Marketplace,10032,201.82
INV-10033,CUST-8251,SRV-727,2025-02-01,Pending,Check,Tools,Warranty,Automotive,3,88.8,915.45,845.09,0.0,845.09,305.15,0.097,32.55,191.71,Premium,Online,10033,845.09
INV-10034,CUST-8206,SRV-179,2025-09-03,Pending,Bank Transfer,Yoga Mat,Installation,Sports,6,68.34,657.12,597.2,0.0,597.2,109.52,0.104,18.6,146.86,Regular,Online,10034,597.2
INV-10035,CUST-8633,SRV-525,2023-11-06,Paid,PayPal,Biography,Warranty,Books,10,39.63,762.2,857.35,857.35,0.0,76.22,0.052,55.52,0.0,Corporate,Mobile App,10035,857.35
INV-10036,CUST-7865,SRV-651,2025-03-16,Paid,Bank Transfer,Biography,Express Delivery,Books,5,10.74,202.55,221.43,221.43,0.0,40.51,0.053,8.14,0.0,Regular,Mobile App,10036,221.43
INV-10037,CUST-9751,SRV-127,2024-10-11,Paid,Digital Wallet,Laptop,Consultation,Electronics,7,211.42,2202.27,2464.38,2464.38,0.0,314.61,0.096,50.69,0.0,Regular,Mobile App,10037,2464.38
INV-10038,CUST-5558,SRV-870,2024-11-08,Partially Paid,Debit Card,Running Shoes,Warranty,Sports,1,12.64,229.73,244.66,32.35,212.31,229.73,0.055,17.72,15.43,Regular,Online,10038,244.66
INV-10039,CUST-1333,SRV-736,2024-02-07,Paid,Check,Textbook,Warranty,Books,2,7.13,98.96,112.22,112.22,0.0,49.48,0.072,6.13,0.0,Premium,Phone,10039,112.22
INV-10040,CUST-3683,SRV-418,2023-12-23,Pending,Digital Wallet,Tablet,Support,Electronics,7,703.25,5764.36,6609.18,0.0,6609.18,823.48,0.122,141.57,0.0,Regular,Online,10040,6609.18
INV-10041,CUST-2983,SRV-915,2025-04-05,Paid,PayPal,Tablet,Support,Electronics,7,534.65,9379.79,9012.45,9012.45,0.0,1339.97,0.057,552.02,1454.01,Premium,In-Store,10041,9012.45
INV-10042,CUST-8532,SRV-824,2024-02-07,Paid,Check,Motor Oil,Consultation,Automotive,9,268.35,3485.07,3992.12,3992.12,0.0,387.23,0.077,238.7,0.0,Premium,In-Store,10042,3992.12
INV-10043,CUST-6280,SRV-972,2024-05-12,Paid,Bank Transfer,Dress,Warranty,Clothing,4,65.84,615.36,718.18,718.18,0.0,153.84,0.107,36.98,0.0,Regular,Online,10043,718.18
INV-10044,CUST-5232,SRV-448,2024-06-16,Pending,Check,Gym Equipment,Standard Shipping,Sports,9,151.58,2569.14,2883.1,0.0,2883.1,285.46,0.059,162.38,0.0,VIP,Phone,10044,2883.1
INV-10045,CUST-8342,SRV-911,2023-09-21,Paid,Check,Dress,Express Delivery,Clothing,7,81.07,1000.86,1136.87,1136.87,0.0,142.98,0.081,54.94,0.0,Premium,In-Store,10045,1136.87
INV-10046,CUST-6764,SRV-819,2024-12-11,Pending,Debit Card,Tennis Racket,Installation,Sports,4,14.84,215.12,235.81,0.0,235.81,53.78,0.069,5.85,0.0,Regular,Phone,10046,235.81
INV-10047,CUST-5530,SRV-841,2025-04-29,Paid,Credit Card,Running Shoes,Maintenance,Sports,4,35.41,411.8,462.91,462.91,0.0,102.95,0.086,15.7,0.0,Regular,In-Store,10047,462.91
INV-10048,CUST-3068,SRV-753,2025-01-18,Paid,Credit Card,Sweater,Standard Shipping,Clothing,10,66.25,676.0,769.59,769.59,0.0,67.6,0.098,27.34,0.0,Corporate,Mobile App,10048,769.59
INV-10049,CUST-7565,SRV-603,2023-11-18,Paid,Cash,Smartphone,Express Delivery,Electronics,10,1121.47,19008.0,20792.69,20792.69,0.0,1900.8,0.059,663.22,0.0,Premium,Online,10049,20792.69
INV-10050,CUST-9561,SRV-489,2024-12-08,Pending,Debit Card,Wine Bottle,Maintenance,Food & Beverage,10,40.14,495.5,564.01,0.0,564.01,49.55,0.081,28.37,0.0,Corporate,In-Store,10050,564.01
