Invoice_Number,Customer_ID,Service_ID,Billing_Date,Payment_Status,Transaction_Type,Mode_of_Payment,Product_Name,Service,Product_Category,Service_Category,Product_Quantity,Tax_Amount,Actual_Amount,Billed_Amount,Paid_Amount,Balance_Amount,Unit_Price,Tax_Rate,Service_Charge,Discount_Amount,Store_Branch,Cashier_ID,Supplier_ID,Billing_Time,Customer_Type,Order_Channel,Invoice_Num_Int,Is_Duplicate
INV20000,CUST2375,SRV003,07-06-2023,Failed,Sale,Credit Card,Potatoes (1kg),No Service,Fresh Vegetables,No Service,8,12.0,240,252.0,0.0,252.0,30,0.05,0,0.0,Branch B,CASH015,SUP137,02:29:30,Wholesale,Online,20000,0
INV20001,CUST6341,SRV002,06-08-2023,Paid,Sale,UPI,Rice (5kg),No Service,Grains & Cereals,No Service,3,45.0,900,945.0,945.0,0.0,300,0.05,0,0.0,Main Store,CASH003,SUP155,05:32:17,Wholesale,In-Store,20001,0
INV20002,CUST7556,SRV002,25-09-2022,Paid,Sale,UPI,Tea Powder (250g),Express Delivery,Beverages,Delivery Services,6,36.0,720,836.0,836.0,0.0,120,0.05,80,0.0,Online,CASH001,SUP105,08:08:21,Wholesale,Online,20002,0
INV20003,CUST1329,SRV003,29-10-2023,Paid,Sale,Net Banking,Bananas (1kg),Express Delivery,Fruits,Delivery Services,5,12.5,250,342.5,342.5,0.0,50,0.05,80,0.0,Main Store,CASH004,SUP106,06:44:52,Regular,In-Store,20003,0
INV20004,CUST5013,SRV002,18-05-2024,Paid,Sale,UPI,Detergent (1kg),Express Delivery,Household,Delivery Services,4,76.8,640,796.8,796.8,0.0,160,0.12,80,0.0,Online,CASH005,SUP140,19:49:10,Regular,In-Store,20004,0
INV20005,CUST6683,SRV002,12-04-2024,Paid,Sale,Net Banking,Sugar (1kg),Express Delivery,Pantry Staples,Delivery Services,8,18.0,360,430.76,430.76,0.0,45,0.05,80,27.24,Online,CASH005,SUP139,12:41:09,Regular,Online,20005,0
INV20006,CUST3146,SRV001,02-07-2025,Paid,Sale,UPI,Chips (100g),Standard Delivery,Snacks,Delivery Services,10,36.0,200,276.0,276.0,0.0,20,0.18,40,0.0,Branch A,CASH012,SUP126,06:44:25,Wholesale,Online,20006,0
INV20007,CUST3575,SRV001,26-10-2022,Paid,Sale,Debit Card,Tea Powder (250g),Standard Delivery,Beverages,Delivery Services,2,12.0,240,292.0,292.0,0.0,120,0.05,40,0.0,Online,CASH010,SUP152,16:58:08,Wholesale,In-Store,20007,0
INV20008,CUST1147,SRV001,16-04-2024,Paid,Sale,Debit Card,Tomatoes (1kg),No Service,Fresh Vegetables,No Service,3,6.0,120,126.0,126.0,0.0,40,0.05,0,0.0,Online,CASH006,SUP136,02:53:41,Regular,Online,20008,0
INV20009,CUST5634,SRV001,11-01-2024,Paid,Sale,UPI,Potatoes (1kg),No Service,Fresh Vegetables,No Service,7,10.5,210,220.5,220.5,0.0,30,0.05,0,0.0,Branch B,CASH013,SUP154,20:23:11,Wholesale,Online,20009,0
INV20010,CUST9276,SRV003,23-04-2023,Paid,Sale,Net Banking,Dishwash Soap (500ml),Standard Delivery,Household,Delivery Services,5,72.0,400,512.0,512.0,0.0,80,0.18,40,0.0,Branch B,CASH005,SUP151,08:48:04,Premium,Online,20010,0
INV20011,CUST9590,SRV002,18-02-2024,Paid,Return,Debit Card,Tomatoes (1kg),Express Delivery,Fresh Vegetables,Delivery Services,2,4.0,80,164.0,164.0,0.0,40,0.05,80,0.0,Branch B,CASH007,SUP120,13:44:14,Wholesale,In-Store,20011,0
INV20012,CUST2356,SRV003,29-12-2022,Paid,Sale,Credit Card,Bread (400g),No Service,Bakery,No Service,7,14.0,280,294.0,294.0,0.0,40,0.05,0,0.0,Online,CASH012,SUP108,19:49:28,Regular,Online,20012,0
INV20013,CUST7820,SRV003,03-06-2025,Paid,Sale,Net Banking,Lentils (1kg),Standard Delivery,Grains & Cereals,Delivery Services,7,126.0,700,866.0,866.0,0.0,100,0.18,40,0.0,Branch A,CASH013,SUP137,01:48:39,Premium,Phone,20013,0
INV20014,CUST1776,SRV002,17-09-2024,Paid,Sale,UPI,Tomatoes (1kg),No Service,Fresh Vegetables,No Service,7,14.0,280,294.0,294.0,0.0,40,0.05,0,0.0,Main Store,CASH002,SUP132,07:00:36,Wholesale,Online,20014,0
INV20015,CUST5757,SRV003,15-03-2024,Pending,Sale,Cheque,Bread (400g),Standard Delivery,Bakery,Delivery Services,5,10.0,200,220.82999999999998,0.0,220.82999999999998,40,0.05,40,29.17,Branch B,CASH014,SUP126,18:46:06,Wholesale,Online,20015,0
INV20016,CUST1209,SRV002,10-02-2025,Paid,Sale,Debit Card,Bread (400g),Express Delivery,Bakery,Delivery Services,7,14.0,280,374.0,374.0,0.0,40,0.05,80,0.0,Branch B,CASH006,SUP121,12:19:37,Wholesale,In-Store,20016,0
INV20017,CUST9231,SRV003,16-03-2023,Paid,Sale,Debit Card,Detergent (1kg),Standard Delivery,Household,Delivery Services,8,153.6,1280,1473.6,1473.6,0.0,160,0.12,40,0.0,Main Store,CASH011,SUP151,23:09:17,Premium,Online,20017,0
INV20018,CUST7120,SRV001,05-08-2025,Paid,Sale,Credit Card,Lentils (1kg),Standard Delivery,Grains & Cereals,Delivery Services,5,90.0,500,630.0,630.0,0.0,100,0.18,40,0.0,Branch A,CASH004,SUP132,06:41:53,Wholesale,Online,20018,0
INV20019,CUST9622,SRV001,28-03-2025,Paid,Sale,Cheque,Eggs (1 dozen),Express Delivery,Dairy,Delivery Services,4,14.0,280,374.0,374.0,0.0,70,0.05,80,0.0,Main Store,CASH005,SUP115,16:39:51,Premium,In-Store,20019,0
INV20020,CUST9706,SRV003,07-08-2024,Paid,Sale,UPI,Chips (100g),Express Delivery,Snacks,Delivery Services,1,3.5999999999999996,20,103.6,103.6,0.0,20,0.18,80,0.0,Branch B,CASH012,SUP117,13:56:13,Premium,Phone,20020,0
INV20021,CUST7049,SRV002,03-07-2024,Paid,Sale,Cheque,Lentils (1kg),Standard Delivery,Grains & Cereals,Delivery Services,2,36.0,200,276.0,276.0,0.0,100,0.18,40,0.0,Branch B,CASH003,SUP139,19:50:52,Wholesale,In-Store,20021,0
INV20022,CUST7585,SRV001,30-04-2023,Paid,Return,Credit Card,Milk (1L),Standard Delivery,Dairy,Delivery Services,5,15.0,300,355.0,355.0,0.0,60,0.05,40,0.0,Main Store,CASH001,SUP153,00:09:39,Regular,Online,20022,0
INV20023,CUST4322,SRV003,02-10-2022,Paid,Sale,Credit Card,Onions (1kg),No Service,Fresh Vegetables,No Service,3,5.25,105,110.25,110.25,0.0,35,0.05,0,0.0,Branch A,CASH008,SUP167,11:24:36,Regular,Phone,20023,0
INV20024,CUST8958,SRV003,23-11-2024,Paid,Sale,Cheque,Tomatoes (1kg),No Service,Fresh Vegetables,No Service,10,20.0,400,420.0,420.0,0.0,40,0.05,0,0.0,Main Store,CASH007,SUP119,16:10:06,Regular,Phone,20024,0
INV20025,CUST6240,SRV002,14-02-2023,Failed,Sale,Net Banking,Detergent (1kg),No Service,Household,No Service,10,192.0,1600,1792.0,0.0,1792.0,160,0.12,0,0.0,Branch A,CASH014,SUP160,13:38:38,Wholesale,Phone,20025,0
INV20026,CUST4811,SRV001,13-12-2023,Paid,Sale,UPI,Potatoes (1kg),Express Delivery,Fresh Vegetables,Delivery Services,7,10.5,210,300.5,300.5,0.0,30,0.05,80,0.0,Branch A,CASH002,SUP144,23:58:26,Regular,Online,20026,0
INV20027,CUST4661,SRV003,22-04-2025,Paid,Return,Cheque,Sugar (1kg),No Service,Pantry Staples,No Service,9,20.25,405,425.25,425.25,0.0,45,0.05,0,0.0,Branch A,CASH013,SUP137,02:45:48,Premium,Phone,20027,0
INV20028,CUST5073,SRV002,01-11-2022,Paid,Sale,Cheque,Lentils (1kg),Express Delivery,Grains & Cereals,Delivery Services,9,162.0,900,1142.0,1142.0,0.0,100,0.18,80,0.0,Main Store,CASH009,SUP134,07:25:49,Regular,Online,20028,0
INV20029,CUST8533,SRV002,31-03-2023,Paid,Sale,Debit Card,Detergent (1kg),No Service,Household,No Service,10,192.0,1600,1792.0,1792.0,0.0,160,0.12,0,0.0,Branch A,CASH009,SUP142,09:10:15,Wholesale,Phone,20029,0
INV20030,CUST5964,SRV003,06-11-2023,Paid,Sale,UPI,Chips (100g),Express Delivery,Snacks,Delivery Services,8,28.799999999999997,160,268.8,268.8,0.0,20,0.18,80,0.0,Online,CASH013,SUP151,05:34:22,Wholesale,Online,20030,0
INV20031,CUST5022,SRV002,17-04-2024,Paid,Sale,Cheque,Potatoes (1kg),Standard Delivery,Fresh Vegetables,Delivery Services,1,1.5,30,67.07,67.07,0.0,30,0.05,40,4.43,Branch A,CASH002,SUP135,17:35:05,Wholesale,Online,20031,0
INV20032,CUST9732,SRV001,10-11-2024,Paid,Sale,Debit Card,Dishwash Soap (500ml),Express Delivery,Household,Delivery Services,9,129.6,720,929.6,929.6,0.0,80,0.18,80,0.0,Main Store,CASH002,SUP125,23:56:37,Regular,Online,20032,0
INV20033,CUST6473,SRV001,02-05-2024,Paid,Sale,UPI,Bananas (1kg),Standard Delivery,Fruits,Delivery Services,3,7.5,150,197.5,197.5,0.0,50,0.05,40,0.0,Online,CASH009,SUP115,07:09:47,Wholesale,In-Store,20033,0
INV20034,CUST9493,SRV003,21-09-2023,Paid,Sale,Net Banking,Milk (1L),Standard Delivery,Dairy,Delivery Services,3,9.0,180,229.0,229.0,0.0,60,0.05,40,0.0,Online,CASH001,SUP145,05:12:15,Regular,Phone,20034,0
INV20035,CUST6966,SRV003,04-12-2024,Pending,Sale,Debit Card,Rice (5kg),No Service,Grains & Cereals,No Service,7,105.0,2100,2205.0,0.0,2205.0,300,0.05,0,0.0,Main Store,CASH006,SUP137,02:32:58,Premium,Phone,20035,0
INV20036,CUST4538,SRV002,28-04-2023,Paid,Sale,UPI,Onions (1kg),Express Delivery,Fresh Vegetables,Delivery Services,5,8.75,175,263.75,263.75,0.0,35,0.05,80,0.0,Main Store,CASH008,SUP140,14:07:33,Regular,Phone,20036,0
INV20037,CUST8555,SRV002,19-04-2023,Failed,Sale,UPI,Bread (400g),Standard Delivery,Bakery,Delivery Services,1,2.0,40,82.0,0.0,82.0,40,0.05,40,0.0,Main Store,CASH003,SUP102,12:09:30,Wholesale,Phone,20037,0
INV20038,CUST8011,SRV002,27-05-2025,Paid,Sale,Net Banking,Lentils (1kg),Standard Delivery,Grains & Cereals,Delivery Services,3,54.0,300,394.0,394.0,0.0,100,0.18,40,0.0,Main Store,CASH002,SUP167,15:41:06,Premium,In-Store,20038,0
INV20039,CUST6381,SRV003,21-03-2025,Pending,Sale,Cheque,Sugar (1kg),Express Delivery,Pantry Staples,Delivery Services,3,6.75,135,221.75,0.0,221.75,45,0.05,80,0.0,Online,CASH012,SUP145,09:42:26,Regular,Online,20039,0
INV20040,CUST5912,SRV001,21-08-2023,Paid,Return,UPI,Chicken (1kg),Standard Delivery,Meat,Delivery Services,3,90.0,750,880.0,880.0,0.0,250,0.12,40,0.0,Main Store,CASH012,SUP139,11:11:23,Regular,Online,20040,0
INV20041,CUST6472,SRV002,29-12-2023,Paid,Sale,Credit Card,Tea Powder (250g),Express Delivery,Beverages,Delivery Services,7,42.0,840,962.0,962.0,0.0,120,0.05,80,0.0,Branch B,CASH006,SUP138,22:18:32,Wholesale,In-Store,20041,0
INV20042,CUST8075,SRV003,03-05-2024,Paid,Sale,Debit Card,Sugar (1kg),No Service,Pantry Staples,No Service,3,6.75,135,141.75,141.75,0.0,45,0.05,0,0.0,Branch A,CASH011,SUP106,07:52:02,Wholesale,Phone,20042,0
INV20043,CUST7440,SRV001,29-06-2024,Pending,Sale,Credit Card,Milk (1L),No Service,Dairy,No Service,7,21.0,420,441.0,0.0,441.0,60,0.05,0,0.0,Main Store,CASH010,SUP128,09:33:42,Regular,In-Store,20043,0
INV20044,CUST5830,SRV001,05-06-2025,Paid,Sale,UPI,Bananas (1kg),Express Delivery,Fruits,Delivery Services,4,10.0,200,256.43,256.43,0.0,50,0.05,80,33.57,Online,CASH009,SUP116,16:28:52,Regular,Online,20044,0
INV20045,CUST9219,SRV003,15-07-2024,Paid,Sale,Net Banking,Milk (1L),Express Delivery,Dairy,Delivery Services,2,6.0,120,206.0,206.0,0.0,60,0.05,80,0.0,Branch A,CASH013,SUP140,15:49:10,Wholesale,In-Store,20045,0
INV20046,CUST6121,SRV003,28-09-2022,Pending,Sale,UPI,Sugar (1kg),Express Delivery,Pantry Staples,Delivery Services,4,9.0,180,254.76,0.0,254.76,45,0.05,80,14.24,Branch A,CASH012,SUP144,07:34:43,Regular,Online,20046,0
INV20047,CUST3176,SRV001,28-08-2023,Paid,Sale,Credit Card,Detergent (1kg),No Service,Household,No Service,4,76.8,640,716.8,716.8,0.0,160,0.12,0,0.0,Online,CASH004,SUP140,16:01:15,Wholesale,Phone,20047,0
INV20048,CUST9283,SRV001,28-03-2024,Paid,Sale,UPI,Detergent (1kg),Express Delivery,Household,Delivery Services,7,134.4,1120,1334.4,1334.4,0.0,160,0.12,80,0.0,Main Store,CASH003,SUP129,12:31:24,Premium,In-Store,20048,0
INV20049,CUST8755,SRV002,14-01-2024,Paid,Sale,UPI,Onions (1kg),Standard Delivery,Fresh Vegetables,Delivery Services,4,7.0,140,179.78,179.78,0.0,35,0.05,40,7.22,Online,CASH014,SUP120,20:21:14,Premium,Phone,20049,0
INV20050,CUST6341,SRV001,11-10-2023,Pending,Sale,UPI,Onions (1kg),Standard Delivery,Fresh Vegetables,Delivery Services,10,17.5,350,407.5,0.0,407.5,35,0.05,40,0.0,Main Store,CASH003,SUP157,04:42:53,Premium,Phone,20050,0
INV20051,CUST8651,SRV003,06-03-2023,Paid,Sale,UPI,Eggs (1 dozen),No Service,Dairy,No Service,2,7.0,140,147.0,147.0,0.0,70,0.05,0,0.0,Main Store,CASH013,SUP125,08:20:12,Regular,Phone,20051,0
INV20052,CUST4506,SRV003,05-01-2024,Paid,Sale,Credit Card,Lentils (1kg),Standard Delivery,Grains & Cereals,Delivery Services,9,162.0,900,1102.0,1102.0,0.0,100,0.18,40,0.0,Branch B,CASH014,SUP100,05:03:27,Wholesale,Phone,20052,0
