Invoice_number,Customer_id,Service_id,Agent_id,Payment_status,Transaction_type,Mode_of_payment,Plan_name,Plan_category,Plan_charge,Tax_amount,Actual_amount,Billed_amount,Paid_amount,Balance_amount,Zone_area,Data_bought,Data_used,Billing_cycle,No_of_valid_days,Billing_date_year,Billing_date_month,Billing_date_day,Plan_start_date_year,Plan_start_date_month,Plan_start_date_day,Plan_end_date_year,Plan_end_date_month,Plan_end_date_day,Revenue_Leakage_Pred,Anomaly_Type_Pred
INV105891,CUST001609,SVC7741,AGT149,Paid,Recharge,Cash,Business Basic,Enterprise,4999,899.82,5898.82,5898.82,5898.82,0.0,Circle-North,200,102.33,30,30,2025,7,4,2025,7,2,2025,8,1,Yes,No Anomaly
INV109371,CUST000178,SVC7120,AGT005,Paid,Bill Payment,Credit Card,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,15338.82,0.0,Circle-North,1000,1104.91,28,28,2024,10,5,2024,10,1,2024,10,29,Yes,No Anomaly
INV105419,CUST004430,SVC3930,AGT144,Paid,Plan Change,Wallet,Business Pro,Postpaid,2999,539.82,3538.82,3538.82,3538.82,0.0,Circle-West,100,42.85,30,30,2024,4,14,2024,4,12,2024,5,12,Yes,No Anomaly
INV106000,CUST002459,SVC3832,AGT069,Paid,Renewal,Debit Card,Family Pack,Postpaid,1499,269.82,1768.82,1768.82,1768.82,0.0,Metro-A,30,25.46,31,31,2023,10,2,2023,9,30,2023,10,31,Yes,Usage Mismatch
INV102436,CUST002776,SVC8779,AGT021,Paid,Plan Change,Cash,Industry Solution,Enterprise,9999,1799.82,11798.82,11798.82,11798.82,0.0,Circle-South,750,212.19,28,28,2024,7,13,2024,7,8,2024,8,5,Yes,Usage Mismatch
INV101715,CUST004568,SVC9107,AGT072,Paid,New Connection,Debit Card,Basic Starter,Prepaid,399,71.82,470.82,470.82,470.82,0.0,Circle-East,5,2.28,28,28,2024,11,28,2024,11,23,2024,12,21,Yes,No Anomaly
INV102458,CUST003764,SVC5900,AGT082,Paid,Plan Change,Net Banking,Family Pack,Postpaid,1499,269.82,1768.82,1768.82,1768.82,0.0,Circle-West,30,23.95,30,30,2025,4,12,2025,4,11,2025,5,11,Yes,No Anomaly
INV104718,CUST005059,SVC9464,AGT060,Pending,Recharge,Net Banking,Premium Plus,Postpaid,1999,359.82,2358.82,2358.82,0.0,2358.82,Circle-South,50,22.36,31,31,2024,1,8,2024,1,4,2024,2,4,Yes,No Anomaly
INV107207,CUST000833,SVC2805,AGT037,Paid,New Connection,Credit Card,Smart Connect,Prepaid,699,125.82,824.82,824.82,1310.46,-485.64,Circle-North,15,11.04,31,31,2023,11,26,2023,11,24,2023,12,25,Yes,Billing Error
INV107646,CUST002604,SVC5016,AGT032,Partial,Renewal,Net Banking,Business Basic,Enterprise,4999,899.82,5898.82,5898.82,3012.19,2886.63,Circle-North,200,75.76,30,30,2024,8,12,2024,8,10,2024,9,9,Yes,Usage Mismatch
INV105780,CUST006181,SVC5811,AGT079,Paid,Recharge,Credit Card,Business Basic,Enterprise,4999,899.82,5898.82,5898.82,5898.82,0.0,Circle-East,200,83.32,28,28,2025,2,21,2025,2,20,2025,3,20,Yes,No Anomaly
INV104161,CUST006235,SVC9275,AGT047,Pending,Renewal,Cash,Data Booster,Prepaid,999,179.82,1178.82,1178.82,0.0,1178.82,Circle-North,25,6.72,28,28,2024,11,29,2024,11,24,2024,12,22,Yes,No Anomaly
INV104882,CUST001064,SVC8652,AGT150,Pending,Plan Change,Debit Card,Basic Starter,Prepaid,399,71.82,470.82,470.82,0.0,470.82,Circle-West,5,3.0,28,28,2024,12,20,2024,12,17,2025,1,14,Yes,No Anomaly
INV100405,CUST000445,SVC3916,AGT065,Paid,Bill Payment,Credit Card,Premium Plus,Postpaid,1999,359.82,2358.82,2358.82,2358.82,0.0,Circle-East,50,4.16,28,28,2025,4,29,2025,4,26,2025,5,24,Yes,Billing Error
INV102808,CUST004478,SVC3404,AGT086,Pending,Bill Payment,Auto Debit,Corporate Elite,Postpaid,3999,719.82,4718.82,4718.82,0.0,4718.82,Circle-North,150,112.53,30,30,2024,12,13,2024,12,12,2025,1,11,Yes,Usage Mismatch
INV109360,CUST005766,SVC7932,AGT150,Paid,New Connection,Wallet,Family Pack,Postpaid,1499,269.82,1768.82,1768.82,1768.82,0.0,Metro-A,30,40.73,28,28,2024,5,15,2024,5,13,2024,6,10,Yes,No Anomaly
INV106040,CUST006268,SVC4761,AGT050,Paid,Renewal,Net Banking,Enterprise Pro,Enterprise,7999,1439.82,9438.82,6055.81,6055.81,0.0,Circle-North,500,291.7,28,28,2024,11,20,2024,11,16,2024,12,14,Yes,No Anomaly
INV107933,CUST001608,SVC8894,AGT145,Partial,New Connection,Wallet,Corporate Elite,Postpaid,3999,719.82,4718.82,4718.82,2866.83,1851.99,Circle-South,150,6.37,30,30,2024,12,27,2024,12,26,2025,1,25,Yes,Billing Error
INV101318,CUST007954,SVC1867,AGT092,Pending,Bill Payment,Credit Card,Industry Solution,Enterprise,9999,1799.82,11798.82,11798.82,0.0,11798.82,Rural-Zone,750,614.7,30,30,2023,11,27,2023,11,22,2023,12,22,Yes,No Anomaly
INV104341,CUST000512,SVC7190,AGT029,Paid,Renewal,Auto Debit,Travel Pack,Prepaid,1299,233.82,1532.82,1532.82,1532.82,0.0,Metro-A,40,21.99,30,30,2024,10,15,2024,10,11,2024,11,10,Yes,No Anomaly
INV108788,CUST000993,SVC5191,AGT107,Paid,Renewal,Debit Card,Family Pack,Postpaid,1499,269.82,1768.82,1768.82,1768.82,0.0,Circle-West,30,26.99,28,37,2024,11,14,2024,11,9,2024,12,7,Yes,No Anomaly
INV105172,CUST000792,SVC5465,AGT044,Paid,New Connection,Cash,Business Pro,Postpaid,2999,539.82,3538.82,3538.82,3538.82,0.0,Circle-South,100,24.85,30,30,2024,3,6,2024,3,3,2024,4,2,Yes,No Anomaly
INV103730,CUST007252,SVC7678,AGT020,Paid,New Connection,Wallet,Smart Connect,Prepaid,699,125.82,824.82,824.82,824.82,0.0,Circle-East,15,2.91,30,30,2024,11,4,2024,10,31,2024,11,30,Yes,No Anomaly
INV109163,CUST007715,SVC3104,AGT050,Paid,New Connection,Wallet,Enterprise Pro,Enterprise,7999,1439.82,9438.82,9438.82,9438.82,0.0,Metro-B,500,1034.81,28,28,2024,9,7,2024,9,4,2024,10,2,Yes,No Anomaly
INV104047,CUST004124,SVC2011,AGT131,Pending,Renewal,Cash,Data Booster,Prepaid,999,179.82,1178.82,1178.82,0.0,1178.82,Circle-East,25,21.44,30,30,2025,7,1,2025,6,28,2025,7,28,Yes,No Anomaly
INV106616,CUST005900,SVC3730,AGT028,Paid,Plan Change,Wallet,Business Pro,Postpaid,2999,539.82,3538.82,4314.79,4314.79,0.0,Circle-North,100,13.78,30,30,2024,4,3,2024,3,29,2024,4,28,Yes,No Anomaly
INV106905,CUST006071,SVC2988,AGT150,Paid,Plan Change,Credit Card,Travel Pack,Prepaid,1299,233.82,1532.82,1532.82,2216.32,-683.5,Metro-B,40,17.42,28,28,2025,1,19,2025,1,15,2025,2,12,Yes,No Anomaly
INV104668,CUST006048,SVC3559,AGT044,Paid,Renewal,Debit Card,Family Pack,Postpaid,1499,269.82,1768.82,1768.82,1768.82,0.0,Metro-A,30,4.15,28,28,2025,3,9,2025,3,6,2025,4,3,Yes,Billing Error
INV102600,CUST007519,SVC4213,AGT146,Paid,New Connection,Cash,Premium Plus,Postpaid,1999,359.82,2358.82,2358.82,2358.82,0.0,Circle-South,50,13.32,30,30,2024,3,15,2024,3,11,2024,4,10,Yes,No Anomaly
INV105465,CUST007614,SVC9458,AGT141,Pending,New Connection,Net Banking,Business Basic,Enterprise,4999,899.82,5898.82,5898.82,0.0,5898.82,Metro-B,200,154.68,30,30,2025,2,6,2025,2,4,2025,3,6,Yes,No Anomaly
INV105093,CUST002440,SVC6368,AGT066,Paid,Renewal,Cash,Business Basic,Enterprise,4999,899.82,5898.82,5898.82,5898.82,0.0,Circle-East,200,186.96,28,28,2024,1,1,2023,12,28,2024,1,25,Yes,No Anomaly
INV106000,CUST005530,SVC4418,AGT018,Paid,Bill Payment,Auto Debit,Family Pack,Postpaid,1499,269.82,1768.82,1768.82,1768.82,0.0,Circle-East,30,22.91,28,28,2025,6,25,2025,6,23,2025,7,21,Yes,Usage Mismatch
INV108302,CUST001668,SVC6255,AGT112,Paid,Bill Payment,UPI,Business Pro,Postpaid,2999,539.82,3538.82,3538.82,3538.82,0.0,Metro-A,100,85.35,28,43,2024,6,8,2024,6,4,2024,7,2,Yes,Billing Error
INV108820,CUST004198,SVC8248,AGT044,Paid,Recharge,Credit Card,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,15338.82,0.0,Circle-South,1000,1922.6,28,28,2025,3,14,2025,3,10,2025,4,7,Yes,No Anomaly
INV101228,CUST006597,SVC3106,AGT038,Pending,Bill Payment,UPI,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,0.0,15338.82,Rural-Zone,1000,146.72,28,28,2024,11,13,2024,11,9,2024,12,7,Yes,No Anomaly
