Invoice_Number,Customer_ID,Service_ID,Billing_Date,Payment_Status,Transaction_Type,Mode_of_Payment,Product_Name,Service,Product_Category,Service_Category,Product_Quantity,Tax_Amount,Actual_Amount,Billed_Amount,Paid_Amount,Balance_Amount,Unit_Price,Tax_Rate,Service_Charge,Discount_Amount,Store_Branch,Cashier_ID,Supplier_ID,Billing_Time,Customer_Type,Order_Channel,Invoice_Num_Int,Is_Duplicate,actual_billing_amnt,Leakage_Flag_Pred,Anomaly_Type_Pred
INV10008,CUST6820,SRV003,2024-05-23,Failed,Sale,Net Banking,Chips (100g),Express Delivery,Snacks,Delivery Services,1,3.6,20.0,103.6,0.0,103.6,20.0,0.18,80,0,Branch B,CASH009,SUP166,19:20:46,Regular,Phone,10008,0,103.6,Anomaly,No Anomaly
INV10031,CUST3570,SRV001,2023-11-24,Paid,Return,Credit Card,Fish (1kg),No Service,Meat & Fish,No Service,9,324.0,2700.0,3024.0,3024.0,0.0,300.0,0.12,0,0,Online,CASH004,SUP115,18:39:27,New,Online,10031,1,3024.0,Anomaly,No Anomaly
INV10046,CUST3151,SRV002,2023-10-24,Paid,Sale,Cheque,Salt (1kg),Standard Delivery,Pantry Staples,Delivery Services,9,21.6,180.0,241.6,276.3071887681234,-34.707188768123416,20.0,0.12,40,0,Online,CASH016,SUP149,19:30:23,Premium,Online,10046,0,241.6,Anomaly,No Anomaly
INV10106,CUST7281,SRV001,2023-02-07,Failed,Sale,UPI,Cooking Oil (1L),No Service,Pantry Staples,No Service,4,108.0,600.0,708.0,0.0,708.0,150.0,0.18,0,0,Branch A,CASH006,SUP146,09:34:39,Wholesale,Phone,10106,0,708.0,Anomaly,No Anomaly
INV10107,CUST1345,SRV003,2024-12-13,Failed,Return,UPI,Bananas (1kg),Express Delivery,Fruits,Delivery Services,9,81.0,450.0,531.0,0.0,531.0,50.0,0.18,80,0,Branch A,CASH012,SUP178,13:43:40,New,In-Store,10107,0,611.0,Anomaly,No Anomaly
INV10128,CUST5500,SRV001,2024-06-11,Pending,Return,Credit Card,Dishwash Soap (500ml),No Service,Household,No Service,2,19.2,160.0,179.2,0.0,179.2,80.0,0.12,0,0,Online,CASH017,SUP157,04:07:32,Wholesale,Online,10128,0,179.2,Anomaly,No Anomaly
INV10146,CUST9938,SRV001,2023-12-17,Paid,Return,Debit Card,Rice (1kg),No Service,Grains & Cereals,No Service,5,15.0,300.0,315.0,315.0,0.0,60.0,0.05,0,0,Branch B,CASH009,SUP160,11:03:20,Wholesale,In-Store,10146,0,315.0,Anomaly,Pricing Error
INV10153,CUST3961,SRV001,2023-08-10,Paid,Sale,UPI,Salt (1kg),No Service,Pantry Staples,No Service,10,10.0,200.0,210.0,210.0,0.0,20.0,0.05,0,0,Branch A,CASH011,SUP144,21:18:16,Premium,Phone,10153,0,210.0,Anomaly,No Anomaly
INV10154,CUST8974,SRV001,2023-07-31,Pending,Return,Net Banking,Butter (100g),No Service,Dairy & Eggs,No Service,10,90.0,500.0,590.0,0.0,590.0,50.0,0.18,0,0,Main Store,CASH015,SUP199,11:04:55,Wholesale,Online,10154,0,590.0,Anomaly,No Anomaly
INV10162,CUST6125,SRV003,2024-04-29,Failed,Sale,Cheque,Dishwash Soap (500ml),Express Delivery,Household,Delivery Services,9,36.0,720.0,836.0,0.0,836.0,80.0,0.05,80,0,Online,CASH012,SUP115,20:22:53,New,Online,10162,0,836.0,Anomaly,No Anomaly
INV10192,CUST3962,SRV002,2023-05-13,Pending,Return,Net Banking,Fish (1kg),Standard Delivery,Meat & Fish,Delivery Services,8,288.0,2400.0,2728.0,0.0,2728.0,300.0,0.12,40,0,Branch A,CASH017,SUP109,17:13:49,Wholesale,Online,10192,0,2728.0,Anomaly,No Anomaly
INV10233,CUST9426,SRV001,2023-11-17,Pending,Return,UPI,Bananas (1kg),No Service,Fruits,No Service,6,54.0,300.0,354.0,0.0,354.0,50.0,0.18,0,0,Branch B,CASH013,SUP124,01:04:44,Premium,In-Store,10233,0,354.0,Anomaly,No Anomaly
INV10247,CUST8006,SRV003,2024-09-15,Pending,Sale,Credit Card,Shampoo (250ml),Express Delivery,Personal Care,Delivery Services,2,64.8,360.0,504.8,0.0,504.8,180.0,0.18,80,0,Branch B,CASH003,SUP141,08:40:29,New,Online,10247,0,504.8,Anomaly,Pricing Error
INV10301,CUST2366,SRV001,2024-04-21,Paid,Sale,Cash,Milk (1L),No Service,Dairy & Eggs,No Service,7,75.6,420.0,495.6,567.0984025576106,-71.49840255761058,60.0,0.18,0,0,Branch A,CASH017,SUP127,15:49:52,New,Online,10301,0,495.6,Anomaly,Duplicate Transaction
INV10324,CUST5170,SRV003,2023-03-08,Paid,Return,Cash,Chips (100g),Express Delivery,Snacks,Delivery Services,10,24.0,200.0,304.0,225.68556256399904,78.31443743600096,20.0,0.12,80,0,Main Store,CASH008,SUP176,19:29:56,Regular,Phone,10324,0,304.0,Anomaly,No Anomaly
INV10336,CUST3639,SRV002,2023-02-18,Pending,Return,Cash,Bananas (1kg),Standard Delivery,Fruits,Delivery Services,6,15.0,300.0,315.0,0.0,315.0,50.0,0.05,40,0,Main Store,CASH013,SUP109,10:31:45,Regular,In-Store,10336,0,355.0,Anomaly,No Anomaly
INV10344,CUST6654,SRV003,2024-08-06,Paid,Return,Cheque,Wheat Flour (1kg),Express Delivery,Grains & Cereals,Delivery Services,6,13.5,270.0,363.5,363.5,0.0,45.0,0.05,80,0,Branch B,CASH012,SUP131,17:02:11,Regular,In-Store,10344,0,363.5,Anomaly,No Anomaly
INV10347,CUST7018,SRV003,2023-08-16,Paid,Return,Debit Card,Lentils (1kg),Express Delivery,Grains & Cereals,Delivery Services,9,162.0,900.0,1011.566768064016,1011.566768064016,0.0,100.0,0.18,80,0,Branch A,CASH012,SUP150,16:29:57,Premium,In-Store,10347,0,1142.0,Anomaly,No Anomaly
INV10362,CUST7716,SRV002,2023-04-08,Pending,Sale,Credit Card,Biscuits (200g),Standard Delivery,Snacks,Delivery Services,1,5.4,30.0,75.4,0.0,75.4,30.0,0.18,40,0,Branch A,CASH019,SUP154,16:16:18,Premium,Online,10362,0,75.4,Anomaly,No Anomaly
INV10383,CUST7443,SRV003,2023-12-11,Failed,Return,UPI,Fish (1kg),Express Delivery,Meat & Fish,Delivery Services,2,30.0,600.0,710.0,0.0,710.0,300.0,0.05,80,0,Branch A,CASH008,SUP177,04:36:32,Regular,Phone,10383,0,710.0,Anomaly,No Anomaly
INV10398,CUST1055,SRV002,2024-10-30,Paid,Sale,Cheque,Detergent (1kg),Standard Delivery,Household,Delivery Services,6,216.0,1200.0,1456.0,1740.124734183291,-284.1247341832909,200.0,0.18,40,0,Branch B,CASH020,SUP151,05:33:33,Premium,Online,10398,0,1456.0,Anomaly,No Anomaly
INV10399,CUST1904,SRV001,2023-09-08,Failed,Return,Debit Card,Fish (1kg),No Service,Meat & Fish,No Service,3,162.0,900.0,1062.0,0.0,1062.0,300.0,0.18,0,0,Branch B,CASH017,SUP166,09:07:27,Premium,In-Store,10399,0,1062.0,Anomaly,Duplicate Transaction
INV10444,CUST2434,SRV003,2024-12-28,Paid,Return,Credit Card,Cheese (200g),Express Delivery,Dairy & Eggs,Delivery Services,3,54.0,450.0,584.0,412.3806415032117,171.61935849678832,150.0,0.12,80,0,Branch B,CASH014,SUP159,07:13:59,New,Phone,10444,0,584.0,Anomaly,Duplicate Transaction
INV10453,CUST1405,SRV001,2023-08-10,Paid,Sale,Cash,Soap (100g),No Service,Personal Care,No Service,2,9.6,80.0,89.6,89.6,0.0,40.0,0.12,0,0,Main Store,CASH006,SUP120,16:35:15,Premium,Phone,10453,0,89.6,Anomaly,No Anomaly
INV10524,CUST7357,SRV002,2023-04-29,Pending,Sale,Cash,Soap (100g),Standard Delivery,Personal Care,Delivery Services,2,4.0,80.0,124.0,0.0,124.0,40.0,0.05,40,0,Main Store,CASH019,SUP174,00:57:56,Premium,In-Store,10524,0,124.0,Anomaly,No Anomaly
INV10534,CUST5676,SRV002,2023-12-10,Failed,Sale,UPI,Bread (500g),Standard Delivery,Bakery,Delivery Services,9,64.8,360.0,424.8,0.0,424.8,40.0,0.18,40,0,Branch B,CASH009,SUP109,19:25:47,Regular,In-Store,10534,0,464.8,Anomaly,Missing Item
INV10537,CUST6427,SRV002,2024-06-09,Failed,Sale,UPI,Shampoo (250ml),Standard Delivery,Personal Care,Delivery Services,6,194.4,1080.0,1314.4,0.0,1314.4,180.0,0.18,40,0,Branch A,CASH007,SUP200,19:42:26,Regular,In-Store,10537,0,1314.4,Anomaly,No Anomaly
INV10560,CUST7128,SRV002,2024-10-19,Paid,Sale,UPI,Eggs (12 pack),Standard Delivery,Dairy & Eggs,Delivery Services,10,126.0,700.0,866.0,866.0,0.0,70.0,0.18,40,0,Branch A,CASH009,SUP168,10:16:57,New,Online,10560,0,866.0,Anomaly,No Anomaly
INV10561,CUST3683,SRV002,2023-01-12,Paid,Return,UPI,Chips (100g),Standard Delivery,Snacks,Delivery Services,10,24.0,200.0,264.0,264.0,0.0,20.0,0.12,40,0,Branch B,CASH018,SUP149,04:12:37,Premium,Online,10561,0,264.0,Anomaly,No Anomaly
INV10585,CUST5915,SRV002,2024-03-06,Paid,Sale,Debit Card,Coffee Powder (200g),Standard Delivery,Beverages,Delivery Services,3,52.5,1050.0,1142.5,1142.5,0.0,350.0,0.05,40,0,Branch A,CASH010,SUP100,02:31:43,Regular,In-Store,10585,0,1142.5,Anomaly,No Anomaly
INV10586,CUST8431,SRV001,2024-01-31,Failed,Sale,UPI,Tomatoes (1kg),No Service,Fresh Vegetables,No Service,2,7.199999999999999,60.0,67.2,16.284412468286927,50.91558753171307,30.0,0.12,0,0,Branch A,CASH010,SUP127,21:00:21,Regular,Online,10586,0,67.2,Anomaly,No Anomaly
INV10609,CUST7195,SRV003,2024-02-24,Failed,Sale,Credit Card,Dishwash Soap (500ml),Express Delivery,Household,Delivery Services,9,129.6,720.0,929.6,0.0,929.6,80.0,0.18,80,0,Online,CASH020,SUP166,11:40:45,Wholesale,Phone,10609,0,929.6,Anomaly,Pricing Error
INV10680,CUST8272,SRV003,2023-05-11,Paid,Sale,Credit Card,Dishwash Soap (500ml),Express Delivery,Household,Delivery Services,2,28.8,160.0,268.8,268.8,0.0,80.0,0.18,80,0,Online,CASH017,SUP146,10:43:42,New,Online,10680,0,268.8,Anomaly,Duplicate Transaction
INV10691,CUST6765,SRV003,2024-09-25,Pending,Return,Debit Card,Apples (1kg),Express Delivery,Fruits,Delivery Services,8,48.0,960.0,1088.0,0.0,1088.0,120.0,0.05,80,0,Branch B,CASH004,SUP128,15:32:57,New,Online,10691,0,1088.0,Anomaly,Duplicate Transaction
INV10722,CUST9604,SRV002,2024-07-09,Paid,Sale,Cash,Onions (1kg),Standard Delivery,Fresh Vegetables,Delivery Services,7,33.6,280.0,353.6,353.6,0.0,40.0,0.12,40,0,Branch B,CASH017,SUP136,13:40:17,Wholesale,Online,10722,0,353.6,Anomaly,No Anomaly
INV10728,CUST6721,SRV001,2024-02-24,Pending,Sale,Cash,Cooking Oil (1L),No Service,Pantry Staples,No Service,10,75.0,1500.0,1575.0,0.0,1575.0,150.0,0.05,0,0,Online,CASH013,SUP146,06:46:49,Regular,In-Store,10728,0,1575.0,Anomaly,No Anomaly
INV10729,CUST7489,SRV001,2024-02-18,Pending,Return,UPI,Biscuits (200g),No Service,Snacks,No Service,4,21.6,120.0,141.6,0.0,141.6,30.0,0.18,0,0,Online,CASH001,SUP102,09:46:52,Premium,Online,10729,0,141.6,Anomaly,No Anomaly
INV10737,CUST5302,SRV003,2023-04-07,Paid,Return,Net Banking,Potatoes (1kg),Express Delivery,Fresh Vegetables,Delivery Services,3,12.6,105.0,197.6,220.0730098538798,-22.4730098538798,35.0,0.12,80,0,Main Store,CASH002,SUP162,14:50:49,Regular,Phone,10737,0,197.6,Anomaly,Missing Item
INV10743,CUST6413,SRV003,2024-05-23,Failed,Sale,UPI,Salt (1kg),Express Delivery,Pantry Staples,Delivery Services,3,7.199999999999999,60.0,67.19999999999999,0.0,67.19999999999999,20.0,0.12,80,0,Branch B,CASH011,SUP152,08:36:22,Premium,Online,10743,0,147.2,Anomaly,No Anomaly
INV10745,CUST2911,SRV003,2023-04-26,Failed,Sale,Credit Card,Bananas (1kg),Express Delivery,Fruits,Delivery Services,8,72.0,400.0,552.0,255.78680220782584,296.2131977921742,50.0,0.18,80,0,Branch B,CASH011,SUP143,03:21:03,Wholesale,Phone,10745,0,552.0,Anomaly,Missing Item
INV10746,CUST3961,SRV003,2023-06-18,Paid,Sale,UPI,Milk (1L),Express Delivery,Dairy & Eggs,Delivery Services,7,21.0,420.0,521.0,575.1782375678447,-54.17823756784469,60.0,0.05,80,0,Branch A,CASH020,SUP105,00:17:52,Wholesale,In-Store,10746,0,521.0,Anomaly,No Anomaly
INV10755,CUST5747,SRV001,2024-09-15,Failed,Return,UPI,Soap (100g),No Service,Personal Care,No Service,4,19.2,160.0,135.4331451457492,0.0,135.4331451457492,40.0,0.12,0,0,Branch A,CASH013,SUP131,13:06:31,Regular,Phone,10755,0,179.2,Anomaly,No Anomaly
INV10769,CUST2260,SRV001,2023-02-13,Failed,Sale,UPI,Potatoes (1kg),No Service,Fresh Vegetables,No Service,10,42.0,350.0,392.0,0.0,392.0,35.0,0.12,0,0,Branch A,CASH003,SUP126,09:25:18,Regular,In-Store,10769,0,392.0,Anomaly,No Anomaly
INV10797,CUST8959,SRV003,2023-11-08,Paid,Return,Net Banking,Biscuits (200g),Express Delivery,Snacks,Delivery Services,4,14.4,120.0,214.4,214.4,0.0,30.0,0.12,80,0,Branch A,CASH008,SUP177,04:18:38,Premium,Phone,10797,0,214.4,Anomaly,Pricing Error
INV10804,CUST3410,SRV002,2023-08-30,Failed,Sale,Credit Card,Toothpaste (150g),Standard Delivery,Personal Care,Delivery Services,2,6.0,120.0,166.0,0.0,166.0,60.0,0.05,40,0,Branch A,CASH002,SUP190,10:32:03,Wholesale,In-Store,10804,0,166.0,Anomaly,Duplicate Transaction
INV10820,CUST2518,SRV002,2023-08-20,Failed,Return,Net Banking,Onions (1kg),Standard Delivery,Fresh Vegetables,Delivery Services,2,9.6,80.0,129.6,0.0,129.6,40.0,0.12,40,0,Main Store,CASH008,SUP151,15:18:19,Wholesale,Phone,10820,0,129.6,Anomaly,Duplicate Transaction
INV10821,CUST1638,SRV003,2024-03-15,Pending,Return,UPI,Milk (1L),Express Delivery,Dairy & Eggs,Delivery Services,2,14.4,120.0,214.4,0.0,214.4,60.0,0.12,80,0,Online,CASH017,SUP105,20:26:39,Regular,In-Store,10821,0,214.4,Anomaly,Duplicate Transaction
INV10840,CUST3512,SRV001,2023-04-18,Pending,Sale,Cash,Cheese (200g),No Service,Dairy & Eggs,No Service,5,37.5,750.0,787.5,0.0,787.5,150.0,0.05,0,0,Main Store,CASH001,SUP163,08:04:09,Regular,Phone,10840,0,787.5,Anomaly,No Anomaly
INV10904,CUST9773,SRV001,2023-11-23,Pending,Return,Debit Card,Cheese (200g),No Service,Dairy & Eggs,No Service,9,162.0,1350.0,1512.0,0.0,1512.0,150.0,0.12,0,0,Online,CASH003,SUP120,08:14:33,New,Phone,10904,0,1512.0,Anomaly,No Anomaly
INV10917,CUST4112,SRV002,2023-12-03,Paid,Return,UPI,Bananas (1kg),Standard Delivery,Fruits,Delivery Services,1,9.0,50.0,99.0,78.05249349564434,20.94750650435566,50.0,0.18,40,0,Branch A,CASH020,SUP191,22:44:03,Premium,Online,10917,0,99.0,Anomaly,No Anomaly
INV10945,CUST4006,SRV002,2023-05-20,Pending,Return,Net Banking,Detergent (1kg),Standard Delivery,Household,Delivery Services,1,10.0,200.0,250.0,0.0,250.0,200.0,0.05,40,0,Branch A,CASH002,SUP140,06:50:02,Premium,Phone,10945,0,250.0,Anomaly,Missing Item
INV10975,CUST7394,SRV002,2023-01-20,Pending,Sale,Net Banking,Salt (1kg),Standard Delivery,Pantry Staples,Delivery Services,4,9.6,80.0,129.6,0.0,129.6,20.0,0.12,40,0,Main Store,CASH011,SUP123,09:11:02,Premium,In-Store,10975,0,129.6,Anomaly,No Anomaly
INV11018,CUST7649,SRV003,2024-02-08,Paid,Return,UPI,Eggs (12 pack),Express Delivery,Dairy & Eggs,Delivery Services,3,37.8,210.0,327.8,272.616698068906,55.18330193109404,70.0,0.18,80,0,Branch A,CASH017,SUP166,11:54:51,Premium,Phone,11018,0,327.8,Anomaly,Duplicate Transaction
INV11037,CUST3615,SRV002,2024-03-11,Paid,Sale,UPI,Lentils (1kg),Standard Delivery,Grains & Cereals,Delivery Services,3,15.0,300.0,355.0,355.0,0.0,100.0,0.05,40,0,Branch A,CASH009,SUP181,07:34:40,Wholesale,Phone,11037,0,355.0,Anomaly,No Anomaly
INV11060,CUST8357,SRV003,2024-08-14,Paid,Sale,Net Banking,Bread (500g),Express Delivery,Bakery,Delivery Services,1,2.0,40.0,122.0,122.0,0.0,40.0,0.05,80,0,Branch B,CASH002,SUP196,00:36:01,New,In-Store,11060,0,122.0,Anomaly,No Anomaly
