Invoice_number,Customer_id,Service_id,Agent_id,Payment_status,Transaction_type,Mode_of_payment,Plan_name,Plan_category,Plan_charge,Tax_amount,Actual_amount,Billed_amount,Paid_amount,Balance_amount,Zone_area,Data_bought,Data_used,Billing_cycle,No_of_valid_days,Billing_date_year,Billing_date_month,Billing_date_day,Plan_start_date_year,Plan_start_date_month,Plan_start_date_day,Plan_end_date_year,Plan_end_date_month,Plan_end_date_day,Revenue_Leakage_Pred,Anomaly_Type_Pred
INV104474,CUST006835,SVC7087,AGT107,Paid,New Connection,Auto Debit,Youth Special,Prepaid,599,107.82,706.82,706.82,706.82,0.0,Circle-East,10,4.52,31,31,2024,5,8,2024,5,6,2024,6,6,No,No Anomaly
INV104744,CUST004433,SVC5817,AGT143,Paid,Recharge,Net Banking,Smart Connect,Prepaid,699,125.82,824.82,824.82,824.82,0.0,Metro-A,15,2.51,31,31,2024,1,14,2024,1,13,2024,2,13,No,No Anomaly
INV108656,CUST005198,SVC5202,AGT008,Paid,New Connection,Wallet,Industry Solution,Enterprise,9999,1799.82,11798.82,11798.82,11798.82,0.0,Metro-A,750,462.18,31,36,2024,3,26,2024,3,21,2024,4,21,No,No Anomaly
INV108099,CUST003653,SVC2765,AGT138,Partial,Bill Payment,Auto Debit,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,7670.37,7668.45,Metro-B,1000,441.01,30,30,2024,2,6,2024,2,1,2024,3,2,No,No Anomaly
INV104090,CUST000951,SVC3575,AGT075,Paid,Bill Payment,UPI,Premium Plus,Postpaid,1999,359.82,2358.82,2358.82,2358.82,0.0,Circle-North,50,34.36,30,30,2023,11,10,2023,11,7,2023,12,7,No,Usage Mismatch
INV104424,CUST003428,SVC1098,AGT113,Paid,Renewal,Credit Card,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,15338.82,0.0,Circle-South,1000,794.24,28,28,2023,11,2,2023,11,1,2023,11,29,No,No Anomaly
INV108898,CUST000293,SVC8514,AGT035,Paid,Bill Payment,UPI,Business Basic,Enterprise,4999,899.82,5898.82,5898.82,5898.82,0.0,Circle-East,200,495.21,31,31,2024,8,14,2024,8,13,2024,9,13,No,Billing Error
INV101289,CUST003362,SVC3298,AGT037,Paid,Recharge,Auto Debit,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,15338.82,0.0,Metro-B,1000,56.26,30,30,2024,10,19,2024,10,14,2024,11,13,No,Billing Error
INV103639,CUST007355,SVC3180,AGT143,Pending,Renewal,Credit Card,Corporate Max,Enterprise,12999,2339.82,15338.82,15338.82,0.0,15338.82,Circle-South,1000,539.38,30,30,2025,7,28,2025,7,27,2025,8,26,No,Usage Mismatch
INV105075,CUST006570,SVC3346,AGT115,Paid,Renewal,Wallet,Enterprise Pro,Enterprise,7999,1439.82,9438.82,9438.82,9438.82,0.0,Metro-B,500,462.98,28,28,2024,8,12,2024,8,10,2024,9,7,No,No Anomaly
INV107256,CUST002455,SVC8032,AGT051,Paid,Plan Change,UPI,Youth Special,Prepaid,599,107.82,706.82,706.82,949.11,-242.29,Circle-West,10,2.45,28,28,2023,11,4,2023,10,31,2023,11,28,No,No Anomaly
INV102605,CUST005381,SVC6776,AGT148,Paid,New Connection,UPI,Smart Connect,Prepaid,699,125.82,824.82,824.82,824.82,0.0,Rural-Zone,15,2.03,30,30,2025,3,24,2025,3,23,2025,4,22,No,No Anomaly
INV106973,CUST002628,SVC6873,AGT076,Paid,Plan Change,Debit Card,Family Pack,Postpaid,1499,269.82,1768.82,1768.82,2061.32,-292.5,Circle-West,30,5.96,28,28,2025,3,10,2025,3,8,2025,4,5,No,No Anomaly
INV102980,CUST001463,SVC7501,AGT102,Paid,New Connection,Debit Card,Youth Special,Prepaid,599,107.82,706.82,706.82,706.82,0.0,Metro-B,10,1.1,30,30,2023,12,22,2023,12,18,2024,1,17,No,No Anomaly
