Invoice_Number,Customer_ID,Service_ID,Billing_Date,Payment_Status,Transaction_Type,Mode_of_Payment,Product_Name,Service,Product_Category,Service_Category,Product_Quantity,Tax_Amount,Actual_Amount,Billed_Amount,Paid_Amount,Balance_Amount,Unit_Price,Tax_Rate,Service_Charge,Discount_Amount,Store_Branch,Cashier_ID,Supplier_ID,Billing_Time,Customer_Type,Order_Channel,Invoice_Num_Int,Is_Duplicate,actual_billing_amnt,Leakage_Flag_Pred,Anomaly_Type_Pred
INV10008,CUST6820,SRV003,23-05-2024,Failed,Sale,Net Banking,Chips (100g),Express Delivery,Snacks,Delivery Services,1,3.6,20.0,103.6,0.0,103.6,20.0,0.18,80,0,Branch B,CASH009,SUP166,19:20:46,Regular,Phone,10008,0,103.6,Anomaly,No Anomaly
INV10031,CUST3570,SRV001,24-11-2023,Paid,Return,Credit Card,Fish (1kg),No Service,Meat & Fish,No Service,9,324.0,2700.0,3024.0,3024.0,0.0,300.0,0.12,0,0,Online,CASH004,SUP115,18:39:27,New,Online,10031,1,3024.0,Anomaly,No Anomaly
INV10046,CUST3151,SRV002,24-10-2023,Paid,Sale,Cheque,Salt (1kg),Standard Delivery,Pantry Staples,Delivery Services,9,21.6,180.0,241.6,276.3071888,-34.70718877,20.0,0.12,40,0,Online,CASH016,SUP149,19:30:23,Premium,Online,10046,0,241.6,Anomaly,No Anomaly
INV10106,CUST7281,SRV001,07-02-2023,Failed,Sale,UPI,Cooking Oil (1L),No Service,Pantry Staples,No Service,4,108.0,600.0,708.0,0.0,708.0,150.0,0.18,0,0,Branch A,CASH006,SUP146,09:34:39,Wholesale,Phone,10106,0,708.0,Anomaly,No Anomaly
INV10107,CUST1345,SRV003,13-12-2024,Failed,Return,UPI,Bananas (1kg),Express Delivery,Fruits,Delivery Services,9,81.0,450.0,531.0,0.0,531.0,50.0,0.18,80,0,Branch A,CASH012,SUP178,13:43:40,New,In-Store,10107,0,611.0,Anomaly,No Anomaly
INV10128,CUST5500,SRV001,11-06-2024,Pending,Return,Credit Card,Dishwash Soap (500ml),No Service,Household,No Service,2,19.2,160.0,179.2,0.0,179.2,80.0,0.12,0,0,Online,CASH017,SUP157,04:07:32,Wholesale,Online,10128,0,179.2,Anomaly,No Anomaly
INV10146,CUST9938,SRV001,17-12-2023,Paid,Return,Debit Card,Rice (1kg),No Service,Grains & Cereals,No Service,5,15.0,300.0,315.0,315.0,0.0,60.0,0.05,0,0,Branch B,CASH009,SUP160,11:03:20,Wholesale,In-Store,10146,0,315.0,Anomaly,Pricing Error
INV10153,CUST3961,SRV001,10-08-2023,Paid,Sale,UPI,Salt (1kg),No Service,Pantry Staples,No Service,10,10.0,200.0,210.0,210.0,0.0,20.0,0.05,0,0,Branch A,CASH011,SUP144,21:18:16,Premium,Phone,10153,0,210.0,Anomaly,No Anomaly
INV10154,CUST8974,SRV001,31-07-2023,Pending,Return,Net Banking,Butter (100g),No Service,Dairy & Eggs,No Service,10,90.0,500.0,590.0,0.0,590.0,50.0,0.18,0,0,Main Store,CASH015,SUP199,11:04:55,Wholesale,Online,10154,0,590.0,Anomaly,No Anomaly
INV10162,CUST6125,SRV003,29-04-2024,Failed,Sale,Cheque,Dishwash Soap (500ml),Express Delivery,Household,Delivery Services,9,36.0,720.0,836.0,0.0,836.0,80.0,0.05,80,0,Online,CASH012,SUP115,20:22:53,New,Online,10162,0,836.0,Anomaly,No Anomaly
INV10192,CUST3962,SRV002,13-05-2023,Pending,Return,Net Banking,Fish (1kg),Standard Delivery,Meat & Fish,Delivery Services,8,288.0,2400.0,2728.0,0.0,2728.0,300.0,0.12,40,0,Branch A,CASH017,SUP109,17:13:49,Wholesale,Online,10192,0,2728.0,Anomaly,No Anomaly
INV10233,CUST9426,SRV001,17-11-2023,Pending,Return,UPI,Bananas (1kg),No Service,Fruits,No Service,6,54.0,300.0,354.0,0.0,354.0,50.0,0.18,0,0,Branch B,CASH013,SUP124,01:04:44,Premium,In-Store,10233,0,354.0,Anomaly,No Anomaly
INV10247,CUST8006,SRV003,15-09-2024,Pending,Sale,Credit Card,Shampoo (250ml),Express Delivery,Personal Care,Delivery Services,2,64.8,360.0,504.8,0.0,504.8,180.0,0.18,80,0,Branch B,CASH003,SUP141,08:40:29,New,Online,10247,0,504.8,Anomaly,Pricing Error
