Invoice number,Customer id,Service id,Agent id,Billing date,Payment status,Transaction type,Mode of payment,Plan name,Plan category,Plan Charge,Tax amount,Actual amount,Billed amount,Paid amount,Balance amount,Plan start date,Plan end date,Zone area,Data buyed,Data used,Billing cycle,No of valid days,Leakage,Anomaly type,Type
INV10000,CUST5171,SERV924,AGENT36,2024-04-19,Paid,Sale,Cash,Premium,Prepaid,600,108.0,708.0,708.0,708.0,0.0,2024-04-19,2024-06-18,West,100,,60,65,Yes,Usage mismatch,Usage mismatch
INV10001,CUST7789,SERV685,AGENT24,2024-07-11,Paid,Sale,Cash,Basic,Postpaid,200,36.0,236.0,236.0,236.0,0.0,2024-07-11,2024-08-10,East,200,15.385855377049285,30,30,No,No Anomaly,No Anomaly
INV10002,CUST3064,SERV235,AGENT85,2023-06-07,Paid,Sale,UPI,Standard,Postpaid,400,72.0,472.0,472.0,510.8399330257142,-38.839933025714174,2023-06-07,2023-09-05,North,20,,90,90,Yes,Excess payment,Excess payment
INV10003,CUST3487,SERV224,AGENT99,2023-04-14,Paid,Refund,Net Banking,Basic,Postpaid,200,36.0,236.0,236.0,236.0,0.0,2023-04-14,2023-06-13,West,50,45.58261231426939,60,60,No,No Anomaly,No Anomaly
INV10004,CUST4382,SERV396,AGENT83,2024-10-19,Pending,Sale,Cash,Family,Prepaid,800,144.0,944.0,944.0,0.0,944.0,2024-10-19,2025-01-17,North,20,16.154075121312083,90,90,No,No Anomaly,No Anomaly
INV10005,CUST8819,SERV977,AGENT12,2024-10-28,Paid,Sale,UPI,Family,Prepaid,800,144.0,944.0,944.0,944.0,0.0,2024-10-28,2024-12-27,North,100,59.34427455183718,60,60,No,No Anomaly,No Anomaly
INV10006,CUST2438,SERV548,AGENT42,2024-12-14,Paid,Sale,Net Banking,Basic,Postpaid,200,36.0,236.0,236.0,236.0,0.0,2024-12-14,2025-03-14,South,50,,90,93,Yes,Usage mismatch,Usage mismatch
INV12351,CUST3092,SERV401,AGENT74,2022-05-18,Failed,Sale,Cash,Family,Prepaid,800,144.0,944.0,944.0,0.0,944.0,2022-05-18,2022-08-16,North,10,,90,90,Yes,Duplicate entries,Duplicate entries
INV10008,CUST4032,SERV578,AGENT39,2022-09-19,Paid,Sale,Net Banking,Family,Prepaid,800,144.0,944.0,897.4469885701499,897.4469885701499,0.0,2022-09-19,2022-11-18,East,10,,60,60,Yes,Missing charges,Missing charges
INV10009,CUST2904,SERV276,AGENT21,2022-04-05,Paid,Sale,Credit Card,Family,Prepaid,800,144.0,944.0,932.8316147368765,932.8316147368765,0.0,2022-04-05,2022-06-04,East,200,,60,60,Yes,Missing charges,Missing charges
INV10010,CUST8354,SERV484,AGENT67,2023-01-10,Failed,Sale,Cash,Family,Prepaid,800,144.0,944.0,944.0,0.0,944.0,2023-01-10,2023-04-10,North,200,,90,94,Yes,Usage mismatch,Usage mismatch
INV10011,CUST3304,SERV752,AGENT60,2022-07-30,Paid,Sale,Net Banking,Basic,Postpaid,200,36.0,236.0,236.0,236.0,0.0,2022-07-30,2022-09-28,North,200,,60,63,Yes,Usage mismatch,Usage mismatch
INV10012,CUST9571,SERV722,AGENT93,2024-01-28,Paid,Sale,UPI,Family,Prepaid,800,144.0,944.0,944.0,944.0,0.0,2024-01-28,2024-03-28,East,20,11.10276367839624,60,60,No,No Anomaly,No Anomaly
INV10013,CUST3190,SERV983,AGENT84,2023-02-10,Paid,Sale,Net Banking,Basic,Postpaid,200,36.0,236.0,236.0,236.0,0.0,2023-02-10,2023-05-11,South,200,117.45444987895699,90,90,No,No Anomaly,No Anomaly
INV10014,CUST4475,SERV429,AGENT77,2022-06-25,Pending,Sale,Cash,Premium,Prepaid,600,108.0,708.0,708.0,694.8141587647928,13.18584123520725,2022-06-25,2022-09-23,West,100,,90,90,Yes,Under payment,Under payment
INV10015,CUST7347,SERV257,AGENT81,2023-01-08,Pending,Sale,Cash,Standard,Postpaid,400,72.0,472.0,472.0,451.6780089553422,20.321991044657807,2023-01-08,2023-03-09,East,200,,60,60,Yes,Under payment,Under payment
INV10016,CUST2665,SERV143,AGENT35,2024-03-30,Paid,Sale,Net Banking,Family,Prepaid,800,144.0,944.0,944.0,944.0,0.0,2024-03-30,2024-06-28,North,10,4.773418913563448,90,90,No,No Anomaly,No Anomaly
INV10017,CUST6718,SERV513,AGENT66,2024-09-20,Paid,Sale,Cash,Basic,Postpaid,200,36.0,236.0,236.0,236.0,0.0,2024-09-20,2024-12-19,South,100,30.657964913895487,90,90,No,No Anomaly,No Anomaly
INV10018,CUST5733,SERV140,AGENT78,2024-12-09,Pending,Sale,Credit Card,Family,Prepaid,800,144.0,944.0,944.0,0.0,944.0,2024-12-09,2025-01-08,North,20,11.985478263052984,30,30,No,No Anomaly,No Anomaly
INV19716,CUST1623,SERV417,AGENT93,2022-01-29,Paid,Sale,UPI,Premium,Prepaid,600,108.0,708.0,708.0,708.0,0.0,2022-01-29,2022-02-28,West,10,,30,30,Yes,Duplicate entries,Duplicate entries
