Invoice_Number,Customer_ID,Service_ID,Billing_Date,Payment_Status,Leakage_Flag,Transaction_Type,Mode_of_Payment,Product_Name,Service,Product_Category,Service_Category,Product_Quantity,Tax_Amount,Actual_Amount,Billed_Amount,Paid_Amount,Balance_Amount,Unit_Price,Tax_Rate,Service_Charge,Discount_Amount,Store_Branch,Cashier_ID,Supplier_ID,Billing_Time,Customer_Type,Order_Channel,Anomaly_Type
INV10001,CUST8451,SRV001,2024-07-19,Paid,Anomaly,Sale,Net Banking,Salt (1kg),No Service,Pantry Staples,None,5,5.0,100.0,105.0,105.0,0.0,20.0,0.05,0,0,Online,CASH010,SUP195,07:57:26,New,Phone,Missing Charges
INV10002,CUST8861,SRV002,2023-12-17,Paid,No Leakage,Sale,Credit Card,Tea Powder (250g),Standard Delivery,Beverages,Delivery Services,4,24.0,480.0,544.0,544.0,0.0,120.0,0.05,40,0,Branch B,CASH011,SUP143,16:09:25,Premium,In-Store,None
INV10003,CUST3978,SRV005,2023-11-09,Failed,No Leakage,Sale,Cash,Dishwash Soap (500ml),Installation Service,Household,Technical Services,5,48.0,400.0,948.0,0.0,948.0,80.0,0.12,500,0,Online,CASH004,SUP120,05:49:59,Wholesale,Phone,None
INV10004,CUST2326,SRV005,2024-09-03,Pending,Anomaly,Return,UPI,Tea Powder (250g),Installation Service,Beverages,Technical Services,6,56.06657059803435,467.2214216502863,1023.2879922483206,0.0,1023.2879922483206,120.0,0.12,500,0,Main Store,CASH013,SUP180,16:59:38,Wholesale,Phone,Usage Mismatch
INV10005,CUST1801,SRV005,2024-03-03,Failed,No Leakage,Return,Debit Card,Detergent (1kg),Installation Service,Household,Technical Services,4,144.0,800.0,1444.0,0.0,1444.0,200.0,0.18,500,0,Branch A,CASH016,SUP181,13:13:22,New,Online,None
INV10006,CUST1532,SRV007,2023-06-28,Pending,No Leakage,Sale,Net Banking,Tomatoes (1kg),Customization Service,Fresh Vegetables,Special Orders,4,14.399999999999999,120.0,334.4,0.0,334.4,30.0,0.12,200,0,Online,CASH019,SUP175,13:12:30,Wholesale,Online,None
INV10007,CUST1319,SRV006,2024-06-16,Pending,No Leakage,Sale,Cash,Rice (1kg),Bulk Order Service,Grains & Cereals,Special Orders,5,54.0,300.0,504.0,0.0,504.0,60.0,0.18,150,0,Branch B,CASH019,SUP139,19:03:45,Premium,In-Store,None
INV10008,CUST6820,SRV003,2024-05-23,Failed,No Leakage,Sale,Net Banking,Chips (100g),Express Delivery,Snacks,Delivery Services,1,3.5999999999999996,20.0,103.6,0.0,103.6,20.0,0.18,80,0,Branch B,CASH009,SUP166,19:20:46,Regular,Phone,None
INV10009,CUST4895,SRV001,2023-01-13,Paid,Anomaly,Return,UPI,Bananas (1kg),No Service,Fruits,None,4,10.0,200.0,210.0,248.65829079318075,-38.658290793180754,50.0,0.05,0,0,Online,CASH011,SUP109,18:52:28,Regular,Online,Excess Payment
INV10010,CUST7147,SRV005,2023-09-08,Paid,No Leakage,Sale,Credit Card,Lentils (1kg),Installation Service,Grains & Cereals,Technical Services,5,25.0,500.0,1025.0,1025.0,0.0,100.0,0.05,500,0,Branch B,CASH020,SUP177,13:19:35,Wholesale,Phone,None
