Invoice_Number,Customer_ID,Service_ID,Billing_Date,Payment_Status,Leakage_Flag,Transaction_Type,Mode_of_Payment,Product_Name,Service,Product_Category,Service_Category,Product_Quantity,Tax_Amount,Actual_Amount,Billed_Amount,Paid_Amount,Balance_Amount,Unit_Price,Tax_Rate,Service_Charge,Discount_Amount,Store_Branch,Cashier_ID,Supplier_ID,Billing_Time,Customer_Type,Order_Channel,Anomaly_Type
INV10002,CUST8861,SRV002,2023-12-17,Paid,No Leakage,Sale,Credit Card,Tea Powder (250g),Standard Delivery,Beverages,Delivery Services,4,24.0,480.0,544.0,544.0,0.0,120.0,0.05,40,0,Branch B,CASH011,SUP143,16:09:25,Premium,In-Store,
INV10008,CUST6820,SRV003,2024-05-23,Failed,No Leakage,Sale,Net Banking,Chips (100g),Express Delivery,Snacks,Delivery Services,1,3.6,20.0,103.6,0.0,103.6,20.0,0.18,80,0,Branch B,CASH009,SUP166,19:20:46,Regular,Phone,
INV10009,CUST4895,SRV001,2023-01-13,Paid,Anomaly,Return,UPI,Bananas (1kg),No Service,Fruits,,4,10.0,200.0,210.0,248.65829079318075,-38.658290793180754,50.0,0.05,0,0,Online,CASH011,SUP109,18:52:28,Regular,Online,Excess Payment
INV10014,CUST8666,SRV003,2023-11-08,Failed,No Leakage,Sale,UPI,Dishwash Soap (500ml),Express Delivery,Household,Delivery Services,3,43.2,240.0,363.2,0.0,363.2,80.0,0.18,80,0,Online,CASH003,SUP156,14:10:44,Wholesale,In-Store,
INV10019,CUST7397,SRV002,2024-02-12,Paid,No Leakage,Return,Debit Card,Lentils (1kg),Standard Delivery,Grains & Cereals,Delivery Services,9,162.0,900.0,1102.0,1102.0,0.0,100.0,0.18,40,0,Online,CASH013,SUP160,19:03:48,Wholesale,Phone,
INV10021,CUST7872,SRV001,2024-08-19,Paid,Anomaly,Sale,Credit Card,Milk (1L),No Service,Dairy & Eggs,,3,9.0,180.0,189.0,189.0,0.0,60.0,0.05,0,0,Main Store,CASH001,SUP102,17:47:26,New,Phone,Duplicate Entries
INV10029,CUST8630,SRV002,2023-12-20,Failed,Anomaly,Return,Net Banking,Rice (1kg),Standard Delivery,Grains & Cereals,Delivery Services,4,12.0,240.0,252.0,0.0,252.0,60.0,0.05,40,0,Main Store,CASH010,SUP126,02:44:09,Premium,Online,Missing Charges
INV10030,CUST6835,SRV002,2024-09-24,Paid,Anomaly,Return,Cheque,Detergent (1kg),Standard Delivery,Household,Delivery Services,3,108.0,600.0,748.0,643.7494163480827,104.25058365191728,200.0,0.18,40,0,Online,CASH010,SUP200,22:36:15,Regular,In-Store,Under Payment
INV10031,CUST3570,SRV001,2023-11-24,Paid,Anomaly,Return,Credit Card,Fish (1kg),No Service,Meat & Fish,,9,324.0,2700.0,3024.0,3024.0,0.0,300.0,0.12,0,0,Online,CASH004,SUP115,18:39:27,New,Online,Duplicate Entries
INV10031,CUST4268,SRV003,2024-02-10,Paid,Anomaly,Sale,Credit Card,Coffee Powder (200g),Express Delivery,Beverages,Delivery Services,1,17.5,350.0,369.6851516125725,369.6851516125725,0.0,350.0,0.05,80,0,Branch B,CASH002,SUP189,16:16:16,Premium,Online,Duplicate Entries
